MonthDay,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
08-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Mar,,0.17,1.89,0.12,0.17,0.22,0.12,4,0.17,0.11,4.76,0.17,0.37,0.17,0.16,0.16,2.95,0.17,1.91,0.24,0.02,0.17,0.17,0.17,0.05,0.18
02-Mar,,0.17,1.59,0.12,0.12,0.16,0.33,2.19,0.26,0.4,15.46,0.2,0.16,0.18,0.16,0.16,0.13,0.17,4.55,0.24,0.49,0.17,0.17,0.17,0.05,0.17
03-Mar,,0.17,2.4,0.14,0.16,0.18,0.85,2.73,0.14,0.14,0.09,0.17,0.15,0.17,0.16,0.16,0.06,0.17,9.63,0.27,0.94,0.17,0.17,0.17,0.05,0.17
04-Mar,,0.17,8.51,0.37,0.28,0.12,0.06,0.07,0.15,0.12,0.04,0.17,1.18,0.17,0.19,0.18,0.62,0.17,38.87,1.63,0.58,0.18,0.17,0.17,0.06,0.17
05-Mar,,0.19,3.27,0.13,0.19,0.19,0.03,0.28,0.69,0.11,0.06,0.17,0.85,0.18,0.24,0.2,0.6,0.17,0.8,0.25,10.57,0.17,0.17,0.17,1.65,0.17
06-Mar,,0.57,0.49,0.17,0.08,0.19,0.21,0.53,0.63,0.14,2.53,0.2,0.05,0.41,0.16,0.2,0.2,0.19,1.59,0.22,1.28,0.16,0.2,0.2,0.04,0.07
07-Mar,,0.11,0.66,0.17,0.06,0.23,0.18,0.94,1.06,0.32,13.88,0.2,0.35,3.09,0.18,0.2,0.19,0.19,0.75,0.19,1.68,0.16,0.2,0.2,4.41,0.07
08-Mar,,0.17,0.13,0.19,0.18,0.19,0.1,0.54,0.82,0.22,5.86,0.2,1.39,0.78,0.15,0.2,0.73,0.19,1.09,0.19,6.46,0.16,0.2,0.2,2.16,0.17
09-Mar,,0.06,0.13,0.27,0.67,0.2,0.54,0.53,1.13,0.15,1.67,0.2,0.03,0.39,0.16,0.2,8.16,0.21,0.16,0.19,0.75,0.17,0.2,0.2,0.27,0.23
